NoteName,  cents,  equavesAdjusted
A      ,   0.00c,  0
Dbbbb\\,   0.29c,  0
Gx\    ,   1.95c,  -1
Fxx\\  ,   3.91c,  -1
Bbb//  ,  19.55c,  0
A/     ,  21.51c,  0
Dbbbb\ ,  21.79c,  0
Gx     ,  23.46c,  -1
Cbb\\  ,  23.75c,  0
Fxx\   ,  25.41c,  -1
A//    ,  43.01c,  0
Dbbbb  ,  43.30c,  0
Gx/    ,  44.97c,  -1
Cbb\   ,  45.25c,  0
Fxx    ,  46.92c,  -1
Bb\\   ,  47.21c,  0
Dbbbb/ ,  64.81c,  0
Gx//   ,  66.47c,  -1
Cbb    ,  66.76c,  0
Fxx/   ,  68.43c,  -1
Bb\    ,  68.72c,  0
A#\\   ,  70.67c,  0
Dbbbb//,  86.31c,  0
Cbb/   ,  88.27c,  0
Fxx//  ,  89.93c,  -1
Bb     ,  90.22c,  0
A#\    ,  92.18c,  0
G#x\\  ,  94.13c,  -1
Cbb//  , 109.77c,  0
Bb/    , 111.73c,  0
A#     , 113.69c,  0
Dbbb\\ , 113.97c,  0
G#x\   , 115.64c,  -1
Bb//   , 133.24c,  0
A#/    , 135.19c,  0
Dbbb\  , 135.48c,  0
G#x    , 137.14c,  -1
Cb\\   , 137.43c,  0
A#//   , 156.70c,  0
Dbbb   , 156.99c,  0
G#x/   , 158.65c,  -1
Cb\    , 158.94c,  0
B\\    , 160.90c,  0
Dbbb/  , 178.49c,  0
G#x//  , 180.16c,  -1
Cb     , 180.44c,  0
B\     , 182.40c,  0
Ax\\   , 184.36c,  0
Dbbb// , 200.00c,  0
Cb/    , 201.95c,  0
B      , 203.91c,  0
Ebbbb\\, 204.21c,  0
Ax\    , 205.86c,  0
Gxx\\  , 207.82c,  -1
Cb//   , 223.46c,  0
B/     , 225.42c,  0
Ebbbb\ , 225.71c,  0
Ax     , 227.37c,  0
Dbb\\  , 227.66c,  0
Gxx\   , 229.32c,  -1
B//    , 246.92c,  0
Ebbbb  , 247.22c,  0
Ax/    , 248.88c,  0
Dbb\   , 249.16c,  0
Gxx    , 250.83c,  -1
C\\    , 251.12c,  0
Ebbbb/ , 268.73c,  0
Ax//   , 270.38c,  0
Dbb    , 270.67c,  0
Gxx/   , 272.34c,  -1
C\     , 272.62c,  0
B#\\   , 274.58c,  0
Ebbbb//, 290.23c,  0
Dbb/   , 292.18c,  0
Gxx//  , 293.84c,  -1
C      , 294.13c,  0
Fbbbb\\, 294.43c,  0
B#\    , 296.09c,  0
A#x\\  , 298.04c,  0
