1,,,noSym,,,,,,NONE,
2,,,accidentalNatural,medRenNatural,,,,,NATURAL,
3,#x,,accidentalTripleSharp,,,,,,SHARP3,
4,x,,accidentalDoubleSharp,accidentalSharpSharp,,,,,SHARP2,SHARP_SHARP
5,#,,accidentalSharp,accidentalBakiyeSharp,,,,,SHARP,NATURAL_SHARP
6,b,,accidentalFlat,accidentalKucukMucennebFlat,,,,,FLAT,NATURAL_FLAT
7,bb,,accidentalDoubleFlat,,,,,,FLAT2,
8,bbb,,accidentalTripleFlat,,,,,,FLAT3,
9,#+,,accidentalThreeQuarterTonesSharpStein,accidentalWyschnegradsky9TwelfthsSharp,accidentalNaturalSharp,,,,SHARP_SLASH4,NINE_TWELFTH_SHARP
10,+,,accidentalQuarterToneSharpStein,accidentalWyschnegradsky3TwelfthsSharp,accidentalKomaSharp,,,,SHARP_SLASH,THREE_TWELFTH_SHARP
11,d,,accidentalQuarterToneFlatStein,accidentalNarrowReversedFlat,accidentalKomaFlat,,,,MIRRORED_FLAT,
12,db,,accidentalThreeQuarterTonesFlatZimmermann,accidentalNarrowReversedFlatAndFlat,,,,,MIRRORED_FLAT2,
13,,,accidentalBuyukMucennebFlat,,,,,,FLAT_SLASH2,
14,,,accidentalBakiyeFlat,accidentalQuarterToneFlatArabic,,,,,FLAT_SLASH,
15,,,accidentalKucukMucennebSharp,,,,,,SHARP_SLASH3,
16,,,accidentalBuyukMucennebSharp,,,,,,SHARP_SLASH2,
17,,,accidentalThreeQuarterTonesFlatArabic,,,,,,,
18,x^3,,accidentalDoubleSharpThreeArrowsUp,,,,,,DOUBLE_SHARP_THREE_ARROWS_UP,
19,x^2,,accidentalDoubleSharpTwoArrowsUp,,,,,,DOUBLE_SHARP_TWO_ARROWS_UP,
20,x^,,accidentalDoubleSharpOneArrowUp,accidentalFiveQuarterTonesSharpArrowUp,,,,,SHARP2_ARROW_UP,DOUBLE_SHARP_ONE_ARROW_UP
21,xv,,accidentalDoubleSharpOneArrowDown,accidentalThreeQuarterTonesSharpArrowDown,,,,,SHARP2_ARROW_DOWN,DOUBLE_SHARP_ONE_ARROW_DOWN
22,xv2,,accidentalDoubleSharpTwoArrowsDown,,,,,,DOUBLE_SHARP_TWO_ARROWS_DOWN,
23,xv3,,accidentalDoubleSharpThreeArrowsDown,,,,,,DOUBLE_SHARP_THREE_ARROWS_DOWN,
24,#^3,,accidentalSharpThreeArrowsUp,,,,,,SHARP_THREE_ARROWS_UP,
25,#^2,,accidentalSharpTwoArrowsUp,,,,,,SHARP_TWO_ARROWS_UP,
26,#^,,accidentalSharpOneArrowUp,accidentalThreeQuarterTonesSharpArrowUp,,,,,SHARP_ARROW_UP,SHARP_ONE_ARROW_UP
27,#v,,accidentalSharpOneArrowDown,accidentalQuarterToneSharpArrowDown,,,,,SHARP_ARROW_DOWN,SHARP_ONE_ARROW_DOWN
28,#v2,,accidentalSharpTwoArrowsDown,,,,,,SHARP_TWO_ARROWS_DOWN,
29,#v3,,accidentalSharpThreeArrowsDown,,,,,,SHARP_THREE_ARROWS_DOWN,
30,^3,,accidentalNaturalThreeArrowsUp,,,,,,NATURAL_THREE_ARROWS_UP,
31,^2,,accidentalNaturalTwoArrowsUp,,,,,,NATURAL_TWO_ARROWS_UP,
32,^,,accidentalNaturalOneArrowUp,accidentalQuarterToneSharpNaturalArrowUp,,,,,NATURAL_ARROW_UP,NATURAL_ONE_ARROW_UP
33,/,,accidentalArrowUp,accidentalCombiningLower23Limit29LimitComma,,,,,ARROW_UP,
34,v,,accidentalNaturalOneArrowDown,accidentalQuarterToneFlatNaturalArrowDown,,,,,NATURAL_ARROW_DOWN,NATURAL_ONE_ARROW_DOWN
35,\,,accidentalArrowDown,accidentalCombiningRaise23Limit29LimitComma,,,,,ARROW_DOWN,
36,v2,,accidentalNaturalTwoArrowsDown,,,,,,NATURAL_TWO_ARROWS_DOWN,
37,v3,,accidentalNaturalThreeArrowsDown,,,,,,NATURAL_THREE_ARROWS_DOWN,
38,b^3,,accidentalFlatThreeArrowsUp,,,,,,FLAT_THREE_ARROWS_UP,
39,b^2,,accidentalFlatTwoArrowsUp,,,,,,FLAT_TWO_ARROWS_UP,
40,b^,,accidentalFlatOneArrowUp,accidentalQuarterToneFlatArrowUp,,,,,FLAT_ARROW_UP,FLAT_ONE_ARROW_UP
41,bv,,accidentalFlatOneArrowDown,accidentalThreeQuarterTonesFlatArrowDown,,,,,FLAT_ARROW_DOWN,FLAT_ONE_ARROW_DOWN
42,bv2,,accidentalFlatTwoArrowsDown,,,,,,FLAT_TWO_ARROWS_DOWN,
43,bv3,,accidentalFlatThreeArrowsDown,,,,,,FLAT_THREE_ARROWS_DOWN,
44,bb^3,,accidentalDoubleFlatThreeArrowsUp,,,,,,DOUBLE_FLAT_THREE_ARROWS_UP,
45,bb^2,,accidentalDoubleFlatTwoArrowsUp,,,,,,DOUBLE_FLAT_TWO_ARROWS_UP,
46,bb^,,accidentalDoubleFlatOneArrowUp,accidentalThreeQuarterTonesFlatArrowUp,,,,,FLAT2_ARROW_UP,DOUBLE_FLAT_ONE_ARROW_UP
47,bbv,,accidentalDoubleFlatOneArrowDown,accidentalFiveQuarterTonesFlatArrowDown,,,,,FLAT2_ARROW_DOWN,DOUBLE_FLAT_ONE_ARROW_DOWN
48,bbv2,,accidentalDoubleFlatTwoArrowsDown,,,,,,DOUBLE_FLAT_TWO_ARROWS_DOWN,
49,bbv3,,accidentalDoubleFlatThreeArrowsDown,,,,,,DOUBLE_FLAT_THREE_ARROWS_DOWN,
